Experience Years,Salary
-0.2204890756542994,64500
-0.43215858828242704,57081
1.47286702537072,116969
-0.07937606723554798,66029
0.5203542185441464,91738
-0.36160208407305117,59095
-1.102445378271497,39891
-1.4199496472136883,46205
-0.008819563026172102,83088
-1.4905061514230638,39343
1.5081452774754076,112635
-0.8202193614339939,60150
-0.14993257144492353,67938
0.4145194622300828,90000
1.014249748009777,113812
-1.3493931430043125,37731
1.7550930422082234,122391
-0.5379933445964906,60200
1.825649546417599,121872
1.120084504323841,111620
0.6261889748582101,98273
1.2964757648472804,105582
-0.749662857224618,54445
-0.2910455798636753,61111
-0.8554976135386818,56642
-1.455227899318376,42774
0.06173694118320377,82200
-0.749662857224618,64445
-0.9966106219574333,48266
-0.6438281009105543,60000
0.9084149916957136,101302
1.1906410085332164,109431
